,source_accuracy,target_accuracy,source_auc,target_auc,replicate,batch_size,learning_rate,enc_learning_rate,disc_learning_rate,lambda_val,target_num,target_prop,epochs,iwcdan
54,0.945,1.0,0.991084,1.0,2,16,0.001,0.001,0.001,1.0,50,0.5,50,True
55,0.949,0.96,0.991108,0.9935999999999999,7,16,0.001,0.001,0.001,1.0,50,0.5,50,True
56,0.942,0.96,0.99034,0.9935999999999999,3,16,0.001,0.001,0.001,1.0,50,0.5,50,True
57,0.951,0.96,0.991944,0.9872,9,16,0.001,0.001,0.001,1.0,50,0.5,50,True
58,0.944,1.0,0.9897039999999999,1.0,10,16,0.001,0.001,0.001,1.0,50,0.5,50,True
59,0.949,0.98,0.990528,0.9872,4,16,0.001,0.001,0.001,1.0,50,0.5,50,True
60,0.953,0.96,0.990948,0.9952,7,16,0.001,0.001,0.001,0.5,50,0.5,50,True
61,0.947,0.92,0.989996,0.9952,10,16,0.001,0.001,0.001,0.5,50,0.5,50,True
62,0.95,0.9,0.990756,0.9792,9,16,0.001,0.001,0.001,0.5,50,0.5,50,True
63,0.947,0.96,0.9904599999999999,0.9952,3,16,0.001,0.001,0.001,0.5,50,0.5,50,True
64,0.946,0.9,0.989456,0.9792000000000001,4,16,0.001,0.001,0.001,0.5,50,0.5,50,True
65,0.839,0.88,0.9742160000000001,0.9872,6,16,0.001,0.001,0.001,0.5,50,0.5,50,True
66,0.95,0.92,0.9913159999999999,0.9792000000000001,1,16,0.001,0.001,0.001,0.5,50,0.5,50,True
67,0.944,0.98,0.9911,0.9967999999999999,5,16,0.001,0.001,0.001,0.5,50,0.5,50,True
68,0.952,0.96,0.99014,0.9968,2,16,0.001,0.001,0.001,0.5,50,0.5,50,True
69,0.949,0.98,0.9905280000000001,1.0,8,16,0.001,0.001,0.001,0.5,50,0.5,50,True
70,0.952,0.8163265306122449,0.99008,0.9887387387387387,6,16,0.001,0.001,0.001,1.0,50,0.25,50,True
71,0.948,0.8163265306122449,0.990192,1.0,1,16,0.001,0.001,0.001,1.0,50,0.25,50,True
72,0.945,0.8163265306122449,0.990012,0.9954954954954955,5,16,0.001,0.001,0.001,1.0,50,0.25,50,True
73,0.953,0.7959183673469388,0.990596,0.9617117117117118,8,16,0.001,0.001,0.001,1.0,50,0.25,50,True
74,0.944,0.8367346938775511,0.9903,0.9909909909909911,2,16,0.001,0.001,0.001,1.0,50,0.25,50,True
75,0.946,0.7959183673469388,0.988388,1.0,7,16,0.001,0.001,0.001,1.0,50,0.25,50,True
76,0.94,0.8979591836734694,0.9899,0.9977477477477478,10,16,0.001,0.001,0.001,1.0,50,0.25,50,True
77,0.636,0.7959183673469388,0.863524,0.8536036036036037,3,16,0.001,0.001,0.001,1.0,50,0.25,50,True
78,0.947,0.8163265306122449,0.991372,0.9639639639639639,9,16,0.001,0.001,0.001,1.0,50,0.25,50,True
79,0.946,0.8163265306122449,0.990632,0.9909909909909911,4,16,0.001,0.001,0.001,1.0,50,0.25,50,True
80,0.942,0.7,0.990504,,7,16,0.001,0.001,0.001,1.0,50,0.0,50,True
81,0.948,0.54,0.990516,,10,16,0.001,0.001,0.001,1.0,50,0.0,50,True
82,0.95,0.66,0.9899,,9,16,0.001,0.001,0.001,1.0,50,0.0,50,True
83,0.93,0.54,0.9896879999999999,,3,16,0.001,0.001,0.001,1.0,50,0.0,50,True
84,0.937,0.6,0.989284,,4,16,0.001,0.001,0.001,1.0,50,0.0,50,True
85,0.937,0.66,0.988144,,6,16,0.001,0.001,0.001,1.0,50,0.0,50,True
86,0.949,0.56,0.99104,,1,16,0.001,0.001,0.001,1.0,50,0.0,50,True
87,0.945,0.6,0.9900440000000001,,5,16,0.001,0.001,0.001,1.0,50,0.0,50,True
