,source_accuracy,target_accuracy,source_auc,target_auc,replicate,batch_size,learning_rate,enc_learning_rate,disc_learning_rate,lambda_val,target_num,target_prop,epochs,iwcdan
51,1.0,0.78,1.0,0.9248,10,16,0.001,0.001,0.001,0.0,50,0.5,50,True
52,0.999,0.7,1.0,0.8184,9,16,0.001,0.001,0.001,0.0,50,0.5,50,True
53,1.0,0.82,1.0,0.888,3,16,0.001,0.001,0.001,0.0,50,0.5,50,True
54,0.999,0.7,1.0,0.8039999999999999,4,16,0.001,0.001,0.001,0.0,50,0.5,50,True
55,0.999,0.64,1.0,0.76,6,16,0.001,0.001,0.001,0.0,50,0.5,50,True
56,0.999,0.7,1.0,0.8912,1,16,0.001,0.001,0.001,0.0,50,0.5,50,True
57,0.999,0.64,1.0,0.804,5,16,0.001,0.001,0.001,0.0,50,0.5,50,True
58,0.999,0.9,1.0,0.912,2,16,0.001,0.001,0.001,0.0,50,0.5,50,True
59,1.0,0.9,1.0,0.952,8,16,0.001,0.001,0.001,0.0,50,0.5,50,True
60,0.998,0.48,1.0,,6,16,0.001,0.001,0.001,0.5,50,1.0,50,True
61,0.998,0.44,1.0,,1,16,0.001,0.001,0.001,0.5,50,1.0,50,True
62,0.998,0.46,1.0,,5,16,0.001,0.001,0.001,0.5,50,1.0,50,True
63,0.998,0.48,1.0,,8,16,0.001,0.001,0.001,0.5,50,1.0,50,True
64,0.998,0.48,1.0,,2,16,0.001,0.001,0.001,0.5,50,1.0,50,True
65,0.999,0.04,1.0,,7,16,0.001,0.001,0.001,0.5,50,1.0,50,True
66,0.5,1.0,0.001032,,3,16,0.001,0.001,0.001,0.5,50,1.0,50,True
67,0.999,0.46,1.0,,9,16,0.001,0.001,0.001,0.5,50,1.0,50,True
68,0.999,0.6,1.0,,10,16,0.001,0.001,0.001,0.5,50,1.0,50,True
69,0.999,0.5,1.0,,4,16,0.001,0.001,0.001,0.5,50,1.0,50,True
70,0.998,0.48,0.999548,,8,16,0.001,0.001,0.001,0.5,50,0.0,50,True
71,0.993,0.5,1.0,,2,16,0.001,0.001,0.001,0.5,50,0.0,50,True
72,0.997,0.46,0.9986439999999999,,5,16,0.001,0.001,0.001,0.5,50,0.0,50,True
73,0.998,0.52,1.0,,1,16,0.001,0.001,0.001,0.5,50,0.0,50,True
74,0.994,0.6,1.0,,6,16,0.001,0.001,0.001,0.5,50,0.0,50,True
75,0.998,0.46,1.0,,4,16,0.001,0.001,0.001,0.5,50,0.0,50,True
76,0.999,0.56,1.0,,10,16,0.001,0.001,0.001,0.5,50,0.0,50,True
77,0.998,0.56,1.0,,3,16,0.001,0.001,0.001,0.5,50,0.0,50,True
78,1.0,0.7,1.0,,9,16,0.001,0.001,0.001,0.5,50,0.0,50,True
79,0.998,0.48,1.0,,7,16,0.001,0.001,0.001,0.5,50,0.0,50,True
80,1.0,0.76,1.0,,3,16,0.001,0.001,0.001,0.0,50,0.0,50,True
81,1.0,0.88,1.0,,9,16,0.001,0.001,0.001,0.0,50,0.0,50,True
82,0.999,0.86,1.0,,10,16,0.001,0.001,0.001,0.0,50,0.0,50,True
83,1.0,0.8,1.0,,4,16,0.001,0.001,0.001,0.0,50,0.0,50,True
84,0.999,0.76,1.0,,7,16,0.001,0.001,0.001,0.0,50,0.0,50,True
85,0.999,0.92,1.0,,5,16,0.001,0.001,0.001,0.0,50,0.0,50,True
86,1.0,0.64,1.0,,8,16,0.001,0.001,0.001,0.0,50,0.0,50,True
87,1.0,0.92,1.0,,2,16,0.001,0.001,0.001,0.0,50,0.0,50,True
88,1.0,0.7,1.0,,6,16,0.001,0.001,0.001,0.0,50,0.0,50,True
89,0.999,0.84,1.0,,1,16,0.001,0.001,0.001,0.0,50,0.0,50,True
90,0.997,0.52,1.0,,7,16,0.001,0.001,0.001,0.0,50,1.0,50,True
91,0.998,0.8,1.0,,10,16,0.001,0.001,0.001,0.0,50,1.0,50,True
92,0.997,0.8,1.0,,3,16,0.001,0.001,0.001,0.0,50,1.0,50,True
93,1.0,0.48,1.0,,9,16,0.001,0.001,0.001,0.0,50,1.0,50,True
94,0.999,1.0,1.0,,4,16,0.001,0.001,0.001,0.0,50,1.0,50,True
95,0.996,1.0,1.0,,6,16,0.001,0.001,0.001,0.0,50,1.0,50,True
96,0.998,0.68,1.0,,1,16,0.001,0.001,0.001,0.0,50,1.0,50,True
97,0.998,0.82,1.0,,5,16,0.001,0.001,0.001,0.0,50,1.0,50,True
98,1.0,0.98,1.0,,8,16,0.001,0.001,0.001,0.0,50,1.0,50,True
99,1.0,0.48,1.0,,2,16,0.001,0.001,0.001,0.0,50,1.0,50,True
100,0.998,0.94,1.0,0.9504,1,16,0.001,0.001,0.001,0.5,50,0.5,50,True
101,0.999,0.98,1.0,0.96,6,16,0.001,0.001,0.001,0.5,50,0.5,50,True
102,0.999,0.9,1.0,0.9424,8,16,0.001,0.001,0.001,0.5,50,0.5,50,True
103,0.998,0.96,0.999992,1.0,2,16,0.001,0.001,0.001,0.5,50,0.5,50,True
104,0.998,0.9,0.999996,0.9184000000000001,5,16,0.001,0.001,0.001,0.5,50,0.5,50,True
105,1.0,0.96,1.0,1.0,7,16,0.001,0.001,0.001,0.5,50,0.5,50,True
106,1.0,0.98,1.0,0.9935999999999999,4,16,0.001,0.001,0.001,0.5,50,0.5,50,True
107,0.998,0.98,1.0,0.9935999999999999,10,16,0.001,0.001,0.001,0.5,50,0.5,50,True
108,0.994,0.92,1.0,0.9584,3,16,0.001,0.001,0.001,0.5,50,0.5,50,True
109,0.999,0.94,1.0,0.9688,9,16,0.001,0.001,0.001,0.5,50,0.5,50,True
110,1.0,0.9387755102040817,1.0,0.882882882882883,6,16,0.001,0.001,0.001,0.1,50,0.75,50,True
111,0.999,1.0,1.0,1.0,1,16,0.001,0.001,0.001,0.1,50,0.75,50,True
112,0.999,0.9591836734693877,1.0,0.9166666666666666,5,16,0.001,0.001,0.001,0.1,50,0.75,50,True
113,0.999,0.9387755102040817,1.0,0.9819819819819819,8,16,0.001,0.001,0.001,0.1,50,0.75,50,True
114,0.999,0.9387755102040817,1.0,0.9662162162162161,2,16,0.001,0.001,0.001,0.1,50,0.75,50,True
115,0.999,0.9387755102040817,1.0,0.9831081081081081,7,16,0.001,0.001,0.001,0.1,50,0.75,50,True
116,0.999,0.9795918367346939,1.0,0.9572072072072072,10,16,0.001,0.001,0.001,0.1,50,0.75,50,True
117,0.998,0.9795918367346939,1.0,0.9977477477477478,3,16,0.001,0.001,0.001,0.1,50,0.75,50,True
118,0.999,1.0,1.0,1.0,9,16,0.001,0.001,0.001,0.1,50,0.75,50,True
119,1.0,0.9591836734693877,1.0,0.9324324324324325,4,16,0.001,0.001,0.001,0.1,50,0.75,50,True
120,0.998,0.68,1.0,0.6863999999999999,7,16,0.001,0.001,0.001,1.0,50,0.5,50,True
121,1.0,0.98,1.0,0.9968,9,16,0.001,0.001,0.001,1.0,50,0.5,50,True
122,0.997,0.94,1.0,0.9935999999999999,3,16,0.001,0.001,0.001,1.0,50,0.5,50,True
123,0.999,0.9,1.0,0.9632,10,16,0.001,0.001,0.001,1.0,50,0.5,50,True
124,1.0,0.94,1.0,0.9504,4,16,0.001,0.001,0.001,1.0,50,0.5,50,True
125,0.998,0.96,1.0,0.9567999999999999,6,16,0.001,0.001,0.001,1.0,50,0.5,50,True
126,1.0,0.96,1.0,0.9968,1,16,0.001,0.001,0.001,1.0,50,0.5,50,True
127,0.999,0.92,1.0,0.9728,5,16,0.001,0.001,0.001,1.0,50,0.5,50,True
128,1.0,0.98,1.0,0.9968,2,16,0.001,0.001,0.001,1.0,50,0.5,50,True
129,0.999,0.96,1.0,0.9968,8,16,0.001,0.001,0.001,1.0,50,0.5,50,True
130,1.0,0.9795918367346939,1.0,0.9864864864864865,5,16,0.001,0.001,0.001,0.5,50,0.75,50,True
131,0.999,0.7755102040816326,1.0,0.8400900900900901,8,16,0.001,0.001,0.001,0.5,50,0.75,50,True
132,0.995,0.6122448979591837,1.0,0.677927927927928,2,16,0.001,0.001,0.001,0.5,50,0.75,50,True
133,0.998,0.7142857142857143,0.999988,0.5855855855855855,6,16,0.001,0.001,0.001,0.5,50,0.75,50,True
134,0.999,0.6326530612244898,1.0,0.740990990990991,1,16,0.001,0.001,0.001,0.5,50,0.75,50,True
135,0.997,0.8367346938775511,1.0,0.8918918918918919,10,16,0.001,0.001,0.001,0.5,50,0.75,50,True
136,1.0,0.673469387755102,1.0,0.6801801801801801,3,16,0.001,0.001,0.001,0.5,50,0.75,50,True
137,0.998,0.6122448979591837,1.0,0.7612612612612613,9,16,0.001,0.001,0.001,0.5,50,0.75,50,True
138,0.996,0.9795918367346939,0.999996,0.9414414414414414,4,16,0.001,0.001,0.001,0.5,50,0.75,50,True
139,0.998,0.7959183673469388,1.0,0.9954954954954955,7,16,0.001,0.001,0.001,0.5,50,0.75,50,True
140,1.0,0.7346938775510204,1.0,0.891891891891892,4,16,0.001,0.001,0.001,1.0,50,0.25,50,True
141,0.998,0.7142857142857143,1.0,0.8828828828828829,10,16,0.001,0.001,0.001,1.0,50,0.25,50,True
142,0.998,0.8367346938775511,1.0,0.9414414414414415,9,16,0.001,0.001,0.001,1.0,50,0.25,50,True
143,1.0,0.8571428571428571,1.0,0.8918918918918919,3,16,0.001,0.001,0.001,1.0,50,0.25,50,True
144,0.998,0.7142857142857143,0.999996,0.7139639639639641,7,16,0.001,0.001,0.001,1.0,50,0.25,50,True
145,0.998,0.6530612244897959,0.999996,0.8085585585585586,2,16,0.001,0.001,0.001,1.0,50,0.25,50,True
146,0.999,0.7346938775510204,1.0,0.7072072072072073,8,16,0.001,0.001,0.001,1.0,50,0.25,50,True
147,0.999,0.8163265306122449,1.0,0.8445945945945945,5,16,0.001,0.001,0.001,1.0,50,0.25,50,True
148,0.998,0.8979591836734694,1.0,0.972972972972973,1,16,0.001,0.001,0.001,1.0,50,0.25,50,True
149,0.998,0.6938775510204082,0.9990559999999999,0.8648648648648648,6,16,0.001,0.001,0.001,1.0,50,0.25,50,True
150,0.999,0.7346938775510204,1.0,0.8310810810810811,7,16,0.001,0.001,0.001,0.0,50,0.25,50,True
151,0.998,0.7346938775510204,1.0,0.8243243243243243,4,16,0.001,0.001,0.001,0.0,50,0.25,50,True
152,0.997,0.673469387755102,1.0,0.75,10,16,0.001,0.001,0.001,0.0,50,0.25,50,True
153,0.998,0.8163265306122449,1.0,0.9211711711711712,9,16,0.001,0.001,0.001,0.0,50,0.25,50,True
154,1.0,0.7551020408163265,1.0,0.8896396396396397,3,16,0.001,0.001,0.001,0.0,50,0.25,50,True
155,1.0,0.7959183673469388,1.0,0.9054054054054055,1,16,0.001,0.001,0.001,0.0,50,0.25,50,True
156,0.999,0.8367346938775511,1.0,0.9099099099099099,6,16,0.001,0.001,0.001,0.0,50,0.25,50,True
