,source_accuracy,target_accuracy,source_auc,target_auc,replicate,batch_size,learning_rate,enc_learning_rate,disc_learning_rate,lambda_val,target_num,target_prop,epochs,iwcdan
55,1.0,0.8367346938775511,1.0,0.8896396396396397,1,16,0.001,0.001,0.001,0.0,50,0.25,50,False
56,0.999,0.6326530612244898,1.0,0.8490990990990992,6,16,0.001,0.001,0.001,0.0,50,0.25,50,False
57,0.999,0.8367346938775511,1.0,0.9144144144144144,8,16,0.001,0.001,0.001,0.0,50,0.25,50,False
58,1.0,0.7755102040816326,1.0,0.8006756756756758,2,16,0.001,0.001,0.001,0.0,50,0.25,50,False
59,1.0,0.7755102040816326,1.0,0.8288288288288289,5,16,0.001,0.001,0.001,0.0,50,0.25,50,False
60,1.0,0.72,1.0,,4,16,0.001,0.001,0.001,1.0,50,0.0,50,False
61,0.998,0.56,1.0,,10,16,0.001,0.001,0.001,1.0,50,0.0,50,False
62,1.0,0.52,1.0,,9,16,0.001,0.001,0.001,1.0,50,0.0,50,False
63,0.999,0.52,1.0,,3,16,0.001,0.001,0.001,1.0,50,0.0,50,False
64,1.0,0.54,1.0,,7,16,0.001,0.001,0.001,1.0,50,0.0,50,False
65,0.998,0.48,0.998328,,2,16,0.001,0.001,0.001,1.0,50,0.0,50,False
66,0.998,0.52,1.0,,8,16,0.001,0.001,0.001,1.0,50,0.0,50,False
67,0.999,0.52,1.0,,5,16,0.001,0.001,0.001,1.0,50,0.0,50,False
68,1.0,0.54,1.0,,1,16,0.001,0.001,0.001,1.0,50,0.0,50,False
69,0.999,0.48,0.999956,,6,16,0.001,0.001,0.001,1.0,50,0.0,50,False
70,0.998,0.44,1.0,,5,16,0.001,0.001,0.001,1.0,50,1.0,50,False
71,0.999,0.46,1.0,,2,16,0.001,0.001,0.001,1.0,50,1.0,50,False
72,1.0,0.5,1.0,,8,16,0.001,0.001,0.001,1.0,50,1.0,50,False
73,0.999,0.48,1.0,,6,16,0.001,0.001,0.001,1.0,50,1.0,50,False
74,1.0,0.5,1.0,,1,16,0.001,0.001,0.001,1.0,50,1.0,50,False
75,0.999,0.48,1.0,,10,16,0.001,0.001,0.001,1.0,50,1.0,50,False
76,1.0,0.48,1.0,,9,16,0.001,0.001,0.001,1.0,50,1.0,50,False
77,1.0,0.44,1.0,,3,16,0.001,0.001,0.001,1.0,50,1.0,50,False
78,1.0,0.46,1.0,,4,16,0.001,0.001,0.001,1.0,50,1.0,50,False
79,0.991,0.56,1.0,,7,16,0.001,0.001,0.001,1.0,50,1.0,50,False
80,0.999,0.98,1.0,,7,16,0.001,0.001,0.001,0.0,50,1.0,50,False
