Species,Sample ID,Sex,Subpopulation,BioSample ID,Publication,Lat,Lon
Brown Bear,Canada3,,HudsonBay,SAMN32301322, de Jong et al. 2023,61.117,-94.05
Brown Bear,Canada4,,HudsonBay,SAMN32301323, de Jong et al. 2023,61.117,-94.05
Brown Bear,Canada5,,HudsonBay,SAMN32301324, de Jong et al. 2023,64.167,-95.5
Brown Bear,Canada6,,HudsonBay,SAMN32301325, de Jong et al. 2023,64.167,-95.5
Brown Bear,Canada7,,HudsonBay,SAMN32301326, de Jong et al. 2023,62.75,-92
Brown Bear,Canada8,,HudsonBay,SAMN32301327, de Jong et al. 2023,61.117,-94.05
Brown Bear,Canada9,,HudsonBay,SAMN32301328, de Jong et al. 2023,61.117,-94.05
Brown Bear,Kamtschetka3,,Kamtchatka,SAMN32301351, de Jong et al. 2023,56.21095,159.3467
Brown Bear,Kamtschetka4,,Kamtchatka,SAMN32301352, de Jong et al. 2023,56.21095,159.3467
Brown Bear,Alaska01,,Kodiak,SAMN32301307, de Jong et al. 2023,57.79,-152.407
Brown Bear,Kodiak1,,Kodiak,SAMN32301353, de Jong et al. 2023,57.79,-152.407
Brown Bear,Kodiak2,,Kodiak,SAMN32301354, de Jong et al. 2023,57.79,-152.407
Brown Bear,Kodiak3,,Kodiak,SAMN32301355, de Jong et al. 2023,57.79,-152.407
Brown Bear,Kodiak4,,Kodiak,SAMN32301356, de Jong et al. 2023,57.79,-152.407
Brown Bear,Kodiak5,,Kodiak,SAMN32301357, de Jong et al. 2023,57.79,-152.407
Brown Bear,Kodiak6,,Kodiak,SAMN32301392, de Jong et al. 2023,57.79,-152.407
Brown Bear,FarEast1,,Magadan,SAMN32301336, de Jong et al. 2023,59.5638,150.8035
Brown Bear,FarEast2,,Magadan,SAMN32301337, de Jong et al. 2023,59.5638,150.8035
Brown Bear,FarEast3,,Magadan,SAMN32301338, de Jong et al. 2023,59.5638,150.8035
Brown Bear,FarEast4,,Magadan,SAMN32301339, de Jong et al. 2023,59.5638,150.8035
Brown Bear,FarEast10,,Magadan,SAMN32301344, de Jong et al. 2023,59.6,153.15
Brown Bear,FarEast11,,Magadan,SAMN32301345, de Jong et al. 2023,59.6,153.15
Brown Bear,Georgia,,MiddleEast,SAMEA4762871,Barlow et al. 2018,43.02592,43.04349
Brown Bear,IranGudrun,,MiddleEast,SAMN32301350, de Jong et al. 2023,38,46
Brown Bear,TurkeyMartin,,MiddleEast,SAMN32301380, de Jong et al. 2023,39.9,41.3
Brown Bear,NorthSweden,F,MidScand,SAMN02256314,Liu et al. 2014,66.60665,19.82324
Brown Bear,Norway7,,MidScand,SAMN32301364, de Jong et al. 2023,70.483,26.0135
