sample_accession,run_accession,library_layout,read1,read2,read1_md5,read2_md5
SAMN32301362,SRR22801817,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/017/SRR22801817/SRR22801817_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/017/SRR22801817/SRR22801817_2.fastq.gz,a917651b175d5750fcc5ea29f18fc7c0,e919538c0308c1806b79281216af51a1
SAMN32301353,SRR22801827,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/027/SRR22801827/SRR22801827.fastq.gz,,0b56f757abacc2b9ef544cc9bb8b14c7,
SAMN32301354,SRR22801826,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/026/SRR22801826/SRR22801826.fastq.gz,,16904e076c03f108b4b96a2de494e6ae,
SAMN32301355,SRR22801825,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/025/SRR22801825/SRR22801825.fastq.gz,,197be62dd4b4e9b2c0aad028ad85bd86,
SAMN32301356,SRR22801824,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/024/SRR22801824/SRR22801824.fastq.gz,,3b61192e22f180a82cd6ff892f022d57,
SAMN32301357,SRR22801823,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/023/SRR22801823/SRR22801823.fastq.gz,,faf6ece3fa82eaf80ecb5c7cf85b2fa4,
SAMN32301392,SRR22801844,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/044/SRR22801844/SRR22801844.fastq.gz,,73ff1f2668aeae538ca4bbf409bc194f,
SAMN32301358,SRR22801822,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/022/SRR22801822/SRR22801822_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/022/SRR22801822/SRR22801822_2.fastq.gz,13fc3bb18a6c7a71d81708d0f7f607d9,988860d359791d3352de8db405566386
SAMN32301359,SRR22801821,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/021/SRR22801821/SRR22801821_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/021/SRR22801821/SRR22801821_2.fastq.gz,a4bfd80c2212c0136aa897d7f81ed32e,ef46595f9c2467c48f3a007ed6ffd0df
SAMN32301360,SRR22801820,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/020/SRR22801820/SRR22801820_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/020/SRR22801820/SRR22801820_2.fastq.gz,2bc96e185db24772fc2a8b77fe97d0fc,fd6350f50c5c0eb7728f310b58dcc7ae
SAMN32301361,SRR22801819,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/019/SRR22801819/SRR22801819_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/019/SRR22801819/SRR22801819_2.fastq.gz,b69fc3bcd0aa86fa168703dfe833cf1f,95cbe00ad7c16ce2680ca6ab90821820
SAMN32301363,SRR22801816,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/016/SRR22801816/SRR22801816_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/016/SRR22801816/SRR22801816_2.fastq.gz,429eb62e6a674587e4c1eef7ad9f578b,27db375c1cec73a17e6a0ef84eb859d7
SAMN32301364,SRR22801815,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/015/SRR22801815/SRR22801815_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/015/SRR22801815/SRR22801815_2.fastq.gz,7a012e51c66581491242c0b1d388481a,1e47983258a03b25b48902a2e53f9eb2
SAMN32301365,SRR22801814,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/014/SRR22801814/SRR22801814_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/014/SRR22801814/SRR22801814_2.fastq.gz,8bb27c0deb71cd6fee7753fb2cf72aa2,853fdfcc472f66c443f8c228538af5f5
SAMN32301366,SRR22801813,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/013/SRR22801813/SRR22801813_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/013/SRR22801813/SRR22801813_2.fastq.gz,38da1a60580ea002fa431a308a625408,4f3e5ca40ec59480dc6884834d2f4426
SAMN32301367,SRR22801812,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/012/SRR22801812/SRR22801812_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/012/SRR22801812/SRR22801812_2.fastq.gz,3df7150ba0ee892865413c8f00ba4083,ca5a2a6f76c17354d8d9e2149f30fcdf
SAMN32301368,SRR22801811,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/011/SRR22801811/SRR22801811_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/011/SRR22801811/SRR22801811_2.fastq.gz,368b49a37402b620f8b3a5bb1e17619c,5cb4d9ed4a0391a21ce2e9692d9cf364
SAMN32301369,SRR22801810,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/010/SRR22801810/SRR22801810_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/010/SRR22801810/SRR22801810_2.fastq.gz,c8c34a2735433da4b52744b047b66e28,119dfb709f9c090b6f4eb0761fd32ef7
